[38371, 3107971]    True    [1, 1]
[38677, 70321]    True    [2, 1]
[38791, 142231]    True    [0, 1]
[39019, 105907]    True    [1, 1]
[39293, 49633]    True    [2, 2]
[40627, 325009]    True    [1, 1]
[41143, 164569]    True    [0, 1]
[41863, 209311]    True    [0, 1]
[41941, 125821]    True    [2, 0]
[42373, 169489]    True    [2, 1]
[42703, 170809]    True    [0, 1]
[42967, 114577]    True    [0, 1]
[43651, 392851]    True    [1, 1]
[45061, 90121]    True    [2, 1]
[45307, 226531]    True    [1, 1]
[45497, 318473]    True    [2, 3]
[45533, 273193]    True    [2, 2]
[46327, 3011191]    True    [0, 1]
[46819, 187273]    True    [1, 1]
[47251, 110251]    True    [1, 1]
[49171, 245851]    True    [1, 1]
[49207, 393649]    True    [0, 1]
[49409, 592897]    True    [6, 8]
[49603, 1636867]    True    [1, 1]
[50221, 5005261]    True    [2, 1]
[50497, 353473]    True    [4, 5]
[51859, 207433]    True    [1, 1]
[52051, 624601]    True    [1, 1]
[52501, 420001]    True    [2, 0]
[52711, 474391]    True    [0, 1]
[52861, 158581]    True    [2, 0]
[52903, 70537]    True    [0, 1]
[52957, 105913]    True    [2, 0]
[53299, 213193]    True    [1, 1]
[53507, 1979723]    True    [1, 0]
[53549, 321289]    True    [2, 2]
[53773, 699037]    True    [2, 1]
[53791, 215161]    True    [0, 1]
[54101, 64921]    True    [2, 2]
[54139, 216553]    True    [1, 1]
[54751, 219001]    True    [0, 1]
[54767, 657193]    True    [0, 0]
[54941, 4010621]    True    [2, 2]
[55901, 2403701]    True    [2, 2]
[56009, 672097]    True    [2, 3]
[56041, 84061]    True    [2, 0]
[56197, 393373]    True    [2, 1]
[56477, 1016569]    True    [2, 2]
[57571, 287851]    True    [1, 1]
[57793, 231169]    True    [4, 5]
[57991, 231961]    True    [0, 1]
[58189, 407317]    True    [2, 0]
[58237, 1455901]    True    [2, 1]
[58937, 766169]    True    [2, 3]
[58963, 471697]    True    [1, 1]
[59119, 295591]    True    [0, 1]
[59621, 97561]    True    [2, 2]
[60427, 483409]    True    [1, 1]
[60607, 80809]    True    [0, 1]
[60943, 696481]    True    [0, 1]
[61223, 104953]    True    [0, 0]
[61381, 102301]    True    [2, 0]
[61471, 245881]    True    [0, 1]
[61751, 802751]    True    [0, 0]
[62743, 313711]    True    [0, 1]
[62921, 91961]    True    [2, 3]
[62981, 75577]    True    [2, 2]
[63079, 252313]    True    [0, 1]
[63541, 254161]    True    [2, 1]
[64451, 154681]    True    [1, 0]
[64693, 86257]    True    [2, 1]
[64891, 160681]    True    [1, 1]
[65323, 1807243]    True    [1, 1]
[65381, 457661]    True    [2, 2]
[66301, 79561]    True    [2, 1]
[66629, 399769]    True    [2, 2]
[67933, 271729]    True    [2, 1]
[68611, 274441]    True    [1, 1]
[69067, 253243]    True    [1, 1]
[69557, 417337]    True    [2, 2]
[69931, 186481]    True    [1, 1]
[70141, 140281]    True    [2, 0]
[70309, 703081]    True    [2, 1]
[70321, 210961]    True    [2, 1]
[70621, 141241]    True    [2, 0]
[70957, 1064341]    True    [2, 0]
[71011, 3763531]    True    [1, 1]
[71419, 285673]    True    [1, 1]
[72091, 264331]    True    [1, 1]
[72109, 360541]    True    [2, 1]
[72227, 247633]    True    [1, 0]
[72461, 434761]    True    [2, 2]
[72551, 174121]    True    [0, 0]
[72859, 655723]    True    [1, 1]
[72997, 218989]    True    [2, 1]
[73291, 1832251]    True    [1, 1]
[73693, 98257]    True    [2, 0]
[74047, 3850393]    True    [0, 1]
[74413, 372061]    True    [2, 1]
[75403, 603217]    True    [1, 1]
[75659, 191137]    True    [1, 0]
[76213, 381061]    True    [2, 0]
[76333, 305329]    True    [2, 0]
[76651, 12034051]    True    [1, 1]
[77243, 1853809]    True    [1, 0]
[77731, 932761]    True    [1, 1]
[78031, 390151]    True    [0, 1]
[78079, 390391]    True    [0, 1]
[78139, 312553]    True    [1, 1]
[78163, 122827]    True    [1, 1]
[78583, 392911]    True    [0, 1]
[78901, 394501]    True    [2, 0]
[79039, 316153]    True    [0, 1]
[79549, 1909153]    True    [2, 1]
[79901, 2956301]    True    [2, 2]
[80147, 87433]    True    [1, 0]
[81421, 244261]    True    [2, 0]
[82837, 220897]    True    [2, 0]
[83077, 415381]    True    [2, 0]
[83701, 5005261]    True    [2, 1]
[83791, 111721]    True    [0, 1]
[84181, 673441]    True    [2, 0]
[84919, 339673]    True    [0, 1]
[84991, 203977]    True    [0, 1]
[85667, 146857]    True    [1, 0]
[85909, 2061793]    True    [2, 0]
[85933, 140617]    True    [2, 0]
[86083, 688657]    True    [1, 1]
[86311, 119191]    True    [0, 1]
[86851, 347401]    True    [1, 1]
[86869, 6862573]    True    [2, 0]
[87133, 1568377]    True    [2, 1]
[87221, 1657181]    True    [2, 2]
[87679, 438391]    True    [0, 1]
[87797, 526777]    True    [2, 2]
[88261, 176521]    True    [2, 0]
[88741, 266221]    True    [2, 0]
[89101, 302941]    True    [2, 0]
[89269, 178537]    True    [2, 1]
[89611, 160681]    True    [1, 1]
[89689, 164429]    True    [2, 2]
[89767, 4039471]    True    [0, 1]
[89959, 1439329]    True    [0, 1]
[89983, 359929]    True    [0, 1]
[90397, 632773]    True    [2, 0]
[90481, 325729]    True    [3, 2]
[90511, 142231]    True    [0, 1]
[91159, 3281689]    True    [0, 1]
[91237, 182473]    True    [2, 1]
[92227, 737809]    True    [1, 1]
[92237, 553417]    True    [2, 2]
[92311, 240007]    True    [0, 1]
[93253, 466261]    True    [2, 0]
[93701, 5715701]    True    [2, 2]
[94291, 471451]    True    [1, 1]
[94447, 755569]    True    [0, 1]
[94951, 126601]    True    [0, 1]
[95083, 760657]    True    [1, 1]
[95989, 671917]    True    [2, 0]
[96749, 1160977]    True    [2, 2]
[97003, 388009]    True    [1, 1]
[97327, 129769]    True    [0, 1]
[97381, 292141]    True    [2, 1]
[97549, 390193]    True    [2, 1]
[97651, 110251]    True    [1, 1]
[98773, 395089]    True    [2, 0]
[98953, 494761]    True    [2, 2]
[99877, 199753]    True    [2, 1]
[100391, 1204681]    True    [0, 0]
[100741, 302221]    True    [2, 0]
[100981, 235621]    True    [2, 1]
[101173, 3844537]    True    [2, 1]
[101701, 305101]    True    [2, 0]
[102181, 204361]    True    [2, 1]
[102763, 274033]    True    [1, 1]
[102829, 205657]    True    [2, 1]
[103141, 206281]    True    [2, 0]
[103669, 518341]    True    [2, 0]
[103687, 518431]    True    [0, 1]
[103981, 623881]    True    [2, 0]
[104681, 251233]    True    [2, 3]
[104761, 145501]    True    [2, 0]
[105319, 421273]    True    [0, 1]
[105529, 263821]    True    [2, 1]
[105701, 181201]    True    [2, 2]
[105751, 423001]    True    [0, 1]
[107033, 2033609]    True    [2, 3]
[107713, 359041]    True    [5, 5]
[107741, 129289]    True    [2, 2]
[108421, 216841]    True    [2, 0]
[108457, 379597]    True    [2, 0]
[108533, 651193]    True    [2, 2]
[108631, 260713]    True    [0, 1]
[109567, 876529]    True    [0, 1]
[109789, 219577]    True    [2, 0]
[110437, 220873]    True    [2, 0]
[111253, 333757]    True    [2, 0]
[112069, 1008613]    True    [2, 1]
[112621, 225241]    True    [2, 1]
[112939, 451753]    True    [1, 1]
[113437, 189061]    True    [2, 0]
[113749, 227497]    True    [2, 1]
[114157, 253681]    True    [2, 0]
[114643, 152857]    True    [1, 1]
[114973, 344917]    True    [2, 0]
[115429, 1731421]    True    [2, 0]
[115831, 270271]    True    [0, 1]
[116131, 647011]    True    [1, 1]
[116257, 232513]    True    [4, 4]
[116731, 583651]    True    [1, 1]
[116791, 280297]    True    [0, 1]
[116929, 467713]    True    [5, 5]
[117281, 1524641]    True    [4, 5]
[117721, 235441]    True    [0, 2]
[117973, 353917]    True    [2, 1]
[118453, 592261]    True    [2, 1]
[118543, 474169]    True    [0, 1]
[118861, 2020621]    True    [2, 0]
[119101, 238201]    True    [2, 1]
[120103, 480409]    True    [0, 1]
[120511, 2048671]    True    [0, 1]
[120661, 241321]    True    [2, 1]
[121189, 242377]    True    [2, 1]
[121309, 242617]    True    [2, 1]
[121421, 457661]    True    [2, 2]
[122053, 488209]    True    [2, 0]
[122173, 366517]    True    [2, 1]
[122251, 1956001]    True    [1, 1]
[122449, 489793]    True    [3, 3]
[122557, 980449]    True    [2, 1]
[123701, 742201]    True    [2, 2]
[123997, 247993]    True    [2, 1]
[124951, 199921]    True    [0, 1]
[125053, 375157]    True    [2, 1]
[125053, 1125469]    True    [2, 1]
[125101, 208501]    True    [2, 0]
[125141, 150169]    True    [2, 2]
[125221, 1377421]    True    [2, 1]
[125407, 961447]    True    [0, 1]
[126547, 1012369]    True    [1, 1]
[126691, 160681]    True    [1, 1]
[126733, 506929]    True    [2, 1]
[127453, 382357]    True    [2, 0]
[127609, 1531297]    True    [2, 1]
[127849, 767089]    True    [2, 2]
[128021, 588893]    True    [2, 2]
[128311, 641551]    True    [0, 1]
[128941, 202621]    True    [2, 1]
[128971, 816811]    True    [1, 1]
[129277, 2197693]    True    [2, 1]
[129763, 264331]    True    [1, 1]
[129841, 259681]    True    [2, 3]
[130069, 260137]    True    [2, 0]
[130201, 316201]    True    [1, 2]
[131059, 305803]    True    [1, 1]
[131477, 920333]    True    [2, 2]
[132109, 528433]    True    [2, 1]
[132607, 176809]    True    [0, 1]
[133069, 266137]    True    [2, 0]
[133349, 800089]    True    [2, 2]
[133387, 1600633]    True    [1, 1]
[134989, 674941]    True    [2, 1]
[135277, 270553]    True    [2, 1]
[135859, 2173729]    True    [1, 1]
[137191, 548761]    True    [0, 1]
[137251, 402601]    True    [1, 1]
[137251, 549001]    True    [1, 1]
[137383, 1236439]    True    [0, 1]
[137413, 1511533]    True    [2, 1]
[138493, 1107937]    True    [2, 0]
[138569, 969977]    True    [1, 3]
[138727, 184969]    True    [0, 1]
[139457, 976193]    True    [5, 6]
[139591, 697951]    True    [0, 1]
