1    1001436577  [114973, 344917]    [2, 0]
2    1423529713  [131059, 305803]    [1, 1]
3    644853577  [144031, 720151]    [0, 1]
4    989400701  [157561, 551461]    [2, 0]
5    434913793  [160981, 482941]    [2, 1]
6    1829250193  [166949, 1168637]    [2, 2]
7    2112153289  [167077, 2171989]    [2, 1]
8    631051193  [169369, 2032417]    [2, 2]
9    175317049  [169501, 305101]    [2, 0]
10    1354419181  [179213, 391009]    [2, 2]
11    611019377  [185491, 2411371]    [1, 1]
12    1244065787  [194659, 778633]    [1, 1]
13    730905689  [203659, 3462187]    [1, 1]
14    131767217  [207307, 1036531]    [1, 1]
15    689445481  [214219, 1927963]    [1, 1]
16    1669678877  [251221, 502441]    [2, 0]
17    367865917  [289717, 579433]    [2, 1]
18    1563475153  [293221, 488701]    [2, 0]
19    1039915873  [293677, 881029]    [2, 1]
20    1082796937  [321397, 1606981]    [2, 1]
21    1207072093  [338161, 422701]    [2, 1]
22    75940889  [345769, 2074609]    [2, 0]
23    952937729  [347059, 1735291]    [1, 1]
24    1580220007  [350431, 1401721]    [0, 1]
25    1794689321  [372367, 1861831]    [0, 1]
26    1581362569  [383417, 2300497]    [1, 3]
27    1229232709  [393997, 787993]    [2, 1]
28    1670608477  [418069, 836137]    [2, 0]
29    52804603  [430411, 688657]    [1, 1]
30    609931697  [438661, 1900861]    [2, 0]
31    1798205173  [447901, 895801]    [2, 0]
32    1560748543  [451783, 602377]    [0, 1]
33    1183952813  [459397, 918793]    [2, 0]
34    388975913  [468199, 1092463]    [0, 1]
35    1219514977  [470539, 1097923]    [1, 1]
36    1478456449  [482101, 1446301]    [2, 0]
37    1489387507  [491899, 1967593]    [1, 1]
38    1692736919  [506983, 579409]    [0, 1]
39    363123769  [520339, 1115011]    [1, 1]
40    1729629257  [537241, 1074481]    [0, 0]
41    940724159  [563599, 1502929]    [0, 1]
42    442280417  [573511, 1228951]    [0, 1]
43    194897249  [579251, 1572251]    [1, 0]
44    297644821  [587737, 1469341]    [2, 1]
45    1058717903  [595927, 794569]    [0, 1]
46    1494281729  [611803, 1427539]    [1, 1]
47    1420237177  [690271, 1084711]    [0, 1]
48    1711044001  [837271, 1156231]    [0, 1]
--- 28473.85696554184 seconds ---

