[1069, 2137]    True [2, 1]
[1303, 5209]    True [0, 1]
[1453, 11617]    True [2, 0]
[1637, 9817]    True [2, 2]
[1699, 6793]    True [1, 1]
[1733, 31177]    True [2, 2]
[1931, 6563]    True [1, 0]
[1999, 7993]    True [0, 1]
[2053, 25309]    True [2, 1]
[2251, 11251]    True [1, 1]
[2389, 11941]    True [2, 1]
[2617, 5233]    True [2, 2]
[3037, 9109]    True [2, 1]
[3517, 17581]    True [2, 1]
[3709, 7417]    True [2, 1]
[4483, 17929]    True [1, 1]
[5749, 11497]    True [2, 0]
[6121, 12241]    True [1, 2]
[6481, 15121]    True [1, 3]
