1    1530787    [619, 2473]    [1, 1]
2    1373653    [829, 1657]    [2, 0]
3    3116107    [883, 3529]    [1, 1]
4    5173601    [929, 5569]    [4, 5]
5    1987021    [997, 1993]    [2, 1]
6    2284453    [1069, 2137]    [2, 1]
7    6787327    [1303, 5209]    [0, 1]
8    16879501    [1453, 11617]    [2, 0]
9    16070429    [1637, 9817]    [2, 2]
10    11541307    [1699, 6793]    [1, 1]
11    54029741    [1733, 31177]    [2, 2]
12    15978007    [1999, 7993]    [0, 1]
13    25326001    [2251, 11251]    [1, 1]
14    28527049    [2389, 11941]    [2, 1]
15    13694761    [2617, 5233]    [2, 2]
16    27664033    [3037, 9109]    [2, 1]
17    61832377    [3517, 17581]    [2, 1]
18    27509653    [3709, 7417]    [2, 1]
19    80375707    [4483, 17929]    [1, 1]
20    66096253    [5749, 11497]    [2, 0]
21    74927161    [6121, 12241]    [1, 2]
--- 2.082608938217163 seconds ---

