p1 < 10**6: 619   2473    True [1, 1]
p1 < 10**6: 829   1657    True [2, 0]
p1 < 10**6: 883   3529    True [1, 1]
p1 < 10**6: 929   5569    True [4, 5]
p1 < 10**6: 997   1993    True [2, 1]
p1 < 10**6: 1069   2137    True [2, 1]
p1 < 10**6: 1303   5209    True [0, 1]
p1 < 10**6: 1453   11617    True [2, 0]
p1 < 10**6: 1637   9817    True [2, 2]
p1 < 10**6: 1699   6793    True [1, 1]
p1 < 10**6: 1733   31177    True [2, 2]
p1 < 10**6: 1931   6563    True [1, 0]
p1 < 10**6: 1999   7993    True [0, 1]
p1 < 10**6: 2053   25309    True [2, 1]
p1 < 10**6: 2069   49633    True [2, 2]
p1 < 10**6: 2251   11251    True [1, 1]
p1 < 10**6: 2389   11941    True [2, 1]
p1 < 10**6: 2617   5233    True [2, 2]
p1 < 10**6: 3037   9109    True [2, 1]
p1 < 10**6: 3517   17581    True [2, 1]
p1 < 10**6: 3517   70321    True [2, 1]
p1 < 10**6: 3709   7417    True [2, 1]
p1 < 10**6: 3739   59809    True [1, 1]
p1 < 10**6: 3863   50207    True [0, 0]
p1 < 10**6: 4027   68443    True [1, 1]
p1 < 10**6: 4111   119191    True [0, 1]
p1 < 10**6: 4483   17929    True [1, 1]
p1 < 10**6: 4603   23011    True [1, 1]
p1 < 10**6: 4789   25309    True [2, 1]
p1 < 10**6: 5749   11497    True [2, 0]
p1 < 10**6: 5821   145501    True [2, 0]
p1 < 10**6: 6037   36217    True [2, 1]
p1 < 10**6: 6121   12241    True [1, 2]
p1 < 10**6: 6211   24841    True [1, 1]
p1 < 10**6: 6481   15121    True [1, 3]
p1 < 10**6: 7129   23761    True [1, 2]
p1 < 10**6: 7159   121687    True [0, 1]
p1 < 10**6: 7213   79333    True [2, 1]
p1 < 10**6: 7297   14593    True [6, 6]
p1 < 10**6: 7333   21997    True [2, 0]
p1 < 10**6: 7681   15361    True [8, 7]
p1 < 10**6: 8011   264331    True [1, 1]
p1 < 10**6: 8059   32233    True [1, 1]
p1 < 10**6: 8069   48409    True [2, 2]
p1 < 10**6: 8293   24877    True [2, 1]
p1 < 10**6: 8461   16921    True [2, 1]
p1 < 10**6: 8527   68209    True [0, 1]
p1 < 10**6: 8563   385291    True [1, 1]
p1 < 10**6: 8863   35449    True [0, 1]
p1 < 10**6: 8893   25309    True [2, 1]
p1 < 10**6: 9181   27541    True [2, 1]
p1 < 10**6: 9181   100981    True [2, 1]
p1 < 10**6: 9311   67033    True [0, 0]
p1 < 10**6: 9341   457661    True [2, 2]
p1 < 10**6: 9631   192601    True [0, 1]
