p1 < 10**6: 53299   213193    True [1, 1]
p1 < 10**6: 53507   1979723    True [1, 0]
p1 < 10**6: 53549   321289    True [2, 2]
p1 < 10**6: 53773   699037    True [2, 1]
p1 < 10**6: 53791   215161    True [0, 1]
p1 < 10**6: 54101   64921    True [2, 2]
p1 < 10**6: 54139   216553    True [1, 1]
p1 < 10**6: 54751   219001    True [0, 1]
p1 < 10**6: 54767   657193    True [0, 0]
p1 < 10**6: 54941   4010621    True [2, 2]
p1 < 10**6: 55807   76565833    True [0, 1]
p1 < 10**6: 55901   2403701    True [2, 2]
p1 < 10**6: 56009   672097    True [2, 3]
p1 < 10**6: 56041   84061    True [2, 0]
p1 < 10**6: 56197   393373    True [2, 1]
p1 < 10**6: 56477   1016569    True [2, 2]
p1 < 10**6: 57571   287851    True [1, 1]
p1 < 10**6: 57793   231169    True [4, 5]
p1 < 10**6: 57991   231961    True [0, 1]
p1 < 10**6: 58189   407317    True [2, 0]
p1 < 10**6: 58237   1455901    True [2, 1]
p1 < 10**6: 58411   21494881    True [1, 1]
p1 < 10**6: 58937   766169    True [2, 3]
p1 < 10**6: 58963   471697    True [1, 1]
p1 < 10**6: 59119   295591    True [0, 1]
p1 < 10**6: 59621   97561    True [2, 2]
p1 < 10**6: 60427   483409    True [1, 1]
p1 < 10**6: 60607   80809    True [0, 1]
p1 < 10**6: 60943   696481    True [0, 1]
p1 < 10**6: 61223   104953    True [0, 0]
p1 < 10**6: 61381   102301    True [2, 0]
p1 < 10**6: 61471   245881    True [0, 1]
p1 < 10**6: 61751   802751    True [0, 0]
p1 < 10**6: 62743   313711    True [0, 1]
p1 < 10**6: 62921   91961    True [2, 3]
p1 < 10**6: 62981   75577    True [2, 2]
p1 < 10**6: 63079   252313    True [0, 1]
p1 < 10**6: 63541   254161    True [2, 1]
p1 < 10**6: 64451   154681    True [1, 0]
p1 < 10**6: 64693   86257    True [2, 1]
p1 < 10**6: 64891   160681    True [1, 1]
p1 < 10**6: 65323   1807243    True [1, 1]
p1 < 10**6: 65381   457661    True [2, 2]
p1 < 10**6: 66301   79561    True [2, 1]
p1 < 10**6: 66629   399769    True [2, 2]
p1 < 10**6: 67933   271729    True [2, 1]
p1 < 10**6: 68611   274441    True [1, 1]
p1 < 10**6: 69067   253243    True [1, 1]
p1 < 10**6: 69557   417337    True [2, 2]
p1 < 10**6: 69931   186481    True [1, 1]
p1 < 10**6: 70141   140281    True [2, 0]
p1 < 10**6: 70309   703081    True [2, 1]
p1 < 10**6: 70321   210961    True [2, 1]
p1 < 10**6: 70621   141241    True [2, 0]
p1 < 10**6: 70957   1064341    True [2, 0]
p1 < 10**6: 71011   3763531    True [1, 1]
p1 < 10**6: 71419   285673    True [1, 1]
p1 < 10**6: 72091   264331    True [1, 1]
p1 < 10**6: 72109   360541    True [2, 1]
p1 < 10**6: 72227   247633    True [1, 0]
p1 < 10**6: 72461   434761    True [2, 2]
p1 < 10**6: 72551   174121    True [0, 0]
p1 < 10**6: 72859   655723    True [1, 1]
p1 < 10**6: 72997   218989    True [2, 1]
p1 < 10**6: 73291   1832251    True [1, 1]
p1 < 10**6: 73453   37093261    True [2, 1]
p1 < 10**6: 73693   98257    True [2, 0]
p1 < 10**6: 74047   3850393    True [0, 1]
p1 < 10**6: 74413   372061    True [2, 1]
p1 < 10**6: 74821   32397061    True [2, 0]
p1 < 10**6: 75403   603217    True [1, 1]
p1 < 10**6: 75659   191137    True [1, 0]
p1 < 10**6: 76213   381061    True [2, 0]
p1 < 10**6: 76333   305329    True [2, 0]
p1 < 10**6: 76651   12034051    True [1, 1]
p1 < 10**6: 77243   1853809    True [1, 0]
p1 < 10**6: 77731   932761    True [1, 1]
p1 < 10**6: 78031   390151    True [0, 1]
p1 < 10**6: 78079   390391    True [0, 1]
p1 < 10**6: 78139   312553    True [1, 1]
p1 < 10**6: 78163   122827    True [1, 1]
p1 < 10**6: 78583   392911    True [0, 1]
p1 < 10**6: 78901   394501    True [2, 0]
p1 < 10**6: 79039   316153    True [0, 1]
p1 < 10**6: 79549   1909153    True [2, 1]
p1 < 10**6: 79901   2956301    True [2, 2]
p1 < 10**6: 80147   87433    True [1, 0]
p1 < 10**6: 81421   244261    True [2, 0]
p1 < 10**6: 82837   220897    True [2, 0]
p1 < 10**6: 83077   415381    True [2, 0]
p1 < 10**6: 83701   5005261    True [2, 1]
p1 < 10**6: 83791   111721    True [0, 1]
p1 < 10**6: 84181   673441    True [2, 0]
p1 < 10**6: 84919   339673    True [0, 1]
p1 < 10**6: 84991   203977    True [0, 1]
p1 < 10**6: 85667   146857    True [1, 0]
p1 < 10**6: 85909   2061793    True [2, 0]
p1 < 10**6: 85933   140617    True [2, 0]
p1 < 10**6: 86083   688657    True [1, 1]
p1 < 10**6: 86311   119191    True [0, 1]
p1 < 10**6: 86851   347401    True [1, 1]
p1 < 10**6: 86869   6862573    True [2, 0]
p1 < 10**6: 87133   1568377    True [2, 1]
p1 < 10**6: 87221   1657181    True [2, 2]
p1 < 10**6: 87679   438391    True [0, 1]
p1 < 10**6: 87797   526777    True [2, 2]
p1 < 10**6: 88261   176521    True [2, 0]
p1 < 10**6: 88741   266221    True [2, 0]
p1 < 10**6: 89101   302941    True [2, 0]
p1 < 10**6: 89269   178537    True [2, 1]
p1 < 10**6: 89611   160681    True [1, 1]
p1 < 10**6: 89689   164429    True [2, 2]
p1 < 10**6: 89767   4039471    True [0, 1]
p1 < 10**6: 89959   1439329    True [0, 1]
p1 < 10**6: 89983   359929    True [0, 1]
p1 < 10**6: 90379   22504123    True [1, 1]
p1 < 10**6: 90397   632773    True [2, 0]
p1 < 10**6: 90481   325729    True [3, 2]
p1 < 10**6: 90511   142231    True [0, 1]
p1 < 10**6: 91159   3281689    True [0, 1]
p1 < 10**6: 91237   182473    True [2, 1]
p1 < 10**6: 92227   737809    True [1, 1]
p1 < 10**6: 92237   553417    True [2, 2]
p1 < 10**6: 92311   240007    True [0, 1]
p1 < 10**6: 93253   466261    True [2, 0]
p1 < 10**6: 93701   5715701    True [2, 2]
p1 < 10**6: 94291   471451    True [1, 1]
p1 < 10**6: 94447   755569    True [0, 1]
p1 < 10**6: 94951   126601    True [0, 1]
p1 < 10**6: 95083   760657    True [1, 1]
p1 < 10**6: 95989   671917    True [2, 0]
p1 < 10**6: 96749   1160977    True [2, 2]
p1 < 10**6: 97003   388009    True [1, 1]
p1 < 10**6: 97327   129769    True [0, 1]
p1 < 10**6: 97381   292141    True [2, 1]
p1 < 10**6: 97549   390193    True [2, 1]
p1 < 10**6: 97651   110251    True [1, 1]
p1 < 10**6: 98773   395089    True [2, 0]
p1 < 10**6: 98953   494761    True [2, 2]
p1 < 10**6: 99877   199753    True [2, 1]
