1    8692110721    [7, 1241730103]    [0, 1, 1]
2    8725200001    [7, 1246457143]    [0, 1, 1]
3    8928859681    [7, 1275551383]    [0, 1, 1]
4    9308240641    [7, 1329748663]    [0, 1, 1]
5    9628613281    [7, 1375516183]    [0, 1, 1]
6    12884913601    [7, 1840701943]    [0, 1, 1]
7    12889871281    [7, 1841410183]    [0, 1, 1]
8    12910772161    [7, 1844396023]    [0, 1, 1]
9    12969510841    [7, 1852787263]    [0, 1, 1]
10    13021282561    [7, 1860183223]    [0, 1, 1]
11    13024508329    [7, 1860644047]    [0, 1, 1]
12    13057711681    [7, 1865387383]    [0, 1, 1]
13    13080741961    [7, 1868677423]    [0, 1, 1]
14    13159387801    [7, 1879912543]    [0, 1, 1]
15    13192180561    [7, 1884597223]    [0, 1, 1]
16    13202434441    [7, 1886062063]    [0, 1, 1]
17    13450362121    [7, 1921480303]    [0, 1, 1]
18    13499796961    [7, 1928542423]    [0, 1, 1]
19    13509526681    [7, 1929932383]    [0, 1, 1]
20    13534981201    [7, 1933568743]    [0, 1, 1]
21    13663924561    [7, 1951989223]    [0, 1, 1]
22    13708483201    [7, 1958354743]    [0, 1, 1]
23    13806299521    [7, 1972328503]    [0, 1, 1]
24    13950967681    [7, 1992995383]    [0, 1, 1]
25    14001780961    [7, 2000254423]    [0, 1, 1]
26    14033293561    [7, 2004756223]    [0, 1, 1]
27    14059008481    [7, 2008429783]    [0, 1, 1]
28    14284278841    [7, 2040611263]    [0, 1, 1]
29    21492274321    [7, 3070324903]    [0, 1, 1]
30    21498521401    [7, 3071217343]    [0, 1, 1]
31    21556594801    [7, 3079513543]    [0, 1, 1]
32    21578466721    [7, 3082638103]    [0, 1, 1]
33    21582992641    [7, 3083284663]    [0, 1, 1]
34    21687775921    [7, 3098253703]    [0, 1, 1]
35    22740944401    [7, 3248706343]    [0, 1, 1]
36    22741413121    [7, 3248773303]    [0, 1, 1]
37    25898203009    [7, 3699743287]    [0, 1, 1]
38    34399038961    [7, 4914148423]    [0, 1, 1]
39    34436188801    [7, 4919455543]    [0, 1, 1]
40    34629618121    [7, 4947088303]    [0, 1, 1]
41    34793822161    [7, 4970546023]    [0, 1, 1]
42    34799751721    [7, 4971393103]    [0, 1, 1]
43    34816372801    [7, 4973767543]    [0, 1, 1]
44    35042863681    [7, 5006123383]    [0, 1, 1]
45    35053649281    [7, 5007664183]    [0, 1, 1]
46    35299087201    [7, 5042726743]    [0, 1, 1]
47    38654792281    [7, 5522113183]    [0, 1, 1]
48    38738327761    [7, 5534046823]    [0, 1, 1]
49    38808902881    [7, 5544128983]    [0, 1, 1]
50    38818798921    [7, 5545542703]    [0, 1, 1]
51    39304445761    [7, 5614920823]    [0, 1, 1]
52    39396645001    [7, 5628092143]    [0, 1, 1]
53    51552875521    [7, 7364696503]    [0, 1, 1]
54    51577521121    [7, 7368217303]    [0, 1, 1]
55    51591925441    [7, 7370275063]    [0, 1, 1]
56    51630874561    [7, 7375839223]    [0, 1, 1]
57    52294656001    [7, 7470665143]    [0, 1, 1]
58    60129551041    [7, 8589935863]    [0, 1, 1]
59    60129619921    [7, 8589945703]    [0, 1, 1]
60    60129861001    [7, 8589980143]    [0, 1, 1]
61    60141216961    [7, 8591602423]    [0, 1, 1]
62    60151741321    [7, 8593105903]    [0, 1, 1]
63    60151919401    [7, 8593131343]    [0, 1, 1]
64    60152046241    [7, 8593149463]    [0, 1, 1]
65    60153347401    [7, 8593335343]    [0, 1, 1]
66    60176079481    [7, 8596582783]    [0, 1, 1]
67    60179664601    [7, 8597094943]    [0, 1, 1]
68    60199706161    [7, 8599958023]    [0, 1, 1]
69    60207488761    [7, 8601069823]    [0, 1, 1]
70    60238893001    [7, 8605556143]    [0, 1, 1]
71    60297618241    [7, 8613945463]    [0, 1, 1]
72    60297687121    [7, 8613955303]    [0, 1, 1]
73    60319955521    [7, 8617136503]    [0, 1, 1]
74    60367661641    [7, 8623951663]    [0, 1, 1]
75    60417892801    [7, 8631127543]    [0, 1, 1]
76    60434975041    [7, 8633567863]    [0, 1, 1]
77    60558513841    [7, 8651216263]    [0, 1, 1]
78    60561572281    [7, 8651653183]    [0, 1, 1]
79    60662500801    [7, 8666071543]    [0, 1, 1]
80    60667342561    [7, 8666763223]    [0, 1, 1]
81    60684833881    [7, 8669261983]    [0, 1, 1]
82    60834558001    [7, 8690651143]    [0, 1, 1]
83    61005304801    [7, 8715043543]    [0, 1, 1]
84    61173260281    [7, 8739037183]    [0, 1, 1]
85    61264990801    [7, 8752141543]    [0, 1, 1]
86    61376692321    [7, 8768098903]    [0, 1, 1]
87    64427411881    [7, 9203915983]    [0, 1, 1]
88    64433785969    [7, 9204826567]    [0, 1, 1]
89    64655771761    [7, 9236538823]    [0, 1, 1]
90    65498994001    [7, 9356999143]    [0, 1, 1]
91    65635910641    [7, 9376558663]    [0, 1, 1]
92    65799793801    [7, 9399970543]    [0, 1, 1]
93    73015917121    [7, 10430845303]    [0, 1, 1]
94    73028522161    [7, 10432646023]    [0, 1, 1]
95    73041513601    [7, 10434501943]    [0, 1, 1]
96    73063341001    [7, 10437620143]    [0, 1, 1]
97    73077919201    [7, 10439702743]    [0, 1, 1]
98    73092751921    [7, 10441821703]    [0, 1, 1]
99    73129478401    [7, 10447068343]    [0, 1, 1]
100    73144929361    [7, 10449275623]    [0, 1, 1]
101    73441358641    [7, 10491622663]    [0, 1, 1]
102    73661770441    [7, 10523110063]    [0, 1, 1]
103    73701342001    [7, 10528763143]    [0, 1, 1]
104    73732824361    [7, 10533260623]    [0, 1, 1]
105    74512261201    [7, 10644608743]    [0, 1, 1]
106    77309472961    [7, 11044210423]    [0, 1, 1]
107    77309593081    [7, 11044227583]    [0, 1, 1]
108    77318126641    [7, 11045446663]    [0, 1, 1]
109    77403144721    [7, 11057592103]    [0, 1, 1]
110    77426506801    [7, 11060929543]    [0, 1, 1]
111    77432161681    [7, 11061737383]    [0, 1, 1]
112    77478051889    [7, 11068293127]    [0, 1, 1]
113    77735090881    [7, 11105012983]    [0, 1, 1]
