1    102176129    [7, 1241730103]    [0, 1, 1]
2    135265409    [7, 1246457143]    [0, 1, 1]
3    338925089    [7, 1275551383]    [0, 1, 1]
4    718306049    [7, 1329748663]    [0, 1, 1]
5    1038678689    [7, 1375516183]    [0, 1, 1]
6    537089    [11, 780951971]    [1, 0, 0]
7    2412809    [11, 781122491]    [1, 0, 0]
8    3318329    [11, 781204811]    [1, 0, 0]
9    18536609    [11, 782588291]    [1, 0, 0]
10    167605529    [11, 796140011]    [1, 0, 0]
11    233061689    [11, 802090571]    [1, 0, 0]
12    254341409    [11, 804025091]    [1, 0, 0]
13    722587649    [11, 846592931]    [1, 0, 0]
14    875324849    [11, 860478131]    [1, 0, 0]
15    301572929    [13, 683962117]    [2, 0, 2]
16    982161929    [13, 736315117]    [2, 0, 2]
17    10770977    [17, 505923857]    [3, 4, 4]
18    450000929    [17, 531760913]    [3, 4, 4]
19    884455649    [17, 557317073]    [3, 4, 4]
20    2063369    [19, 452210419]    [1, 1, 0]
21    12817217    [19, 452776411]    [1, 1, 0]
22    32371409    [19, 453805579]    [1, 1, 0]
23    128035649    [19, 458840539]    [1, 1, 0]
24    546937769    [19, 480888019]    [1, 1, 0]
25    640686809    [19, 485822179]    [1, 1, 0]
26    664866209    [19, 487094779]    [1, 1, 0]
27    687350657    [19, 488278171]    [1, 1, 0]
28    1162927649    [19, 513308539]    [1, 1, 0]
29    97919969    [23, 377732807]    [0, 0, 1]
30    8439809    [29, 296495669]    [2, 2, 1]
31    1085078729    [29, 333621149]    [2, 2, 1]
32    1113068369    [29, 334586309]    [2, 2, 1]
