1    1606179953    [5, 2039222909]    [2, 2]
2    681577    [5, 2577116693]    [2, 2]
3    1912417    [5, 2577362861]    [2, 2]
4    4406857    [5, 2577861749]    [2, 2]
5    8525257    [5, 2578685429]    [2, 2]
6    8632897    [5, 2578706957]    [2, 2]
7    29885857    [5, 2582957549]    [2, 2]
8    36935977    [5, 2584367573]    [2, 2]
9    57276817    [5, 2588435741]    [2, 2]
10    68040817    [5, 2590588541]    [2, 2]
11    98685457    [5, 2596717469]    [2, 2]
12    100534057    [5, 2597087189]    [2, 2]
13    104746057    [5, 2597929589]    [2, 2]
14    115065457    [5, 2599993469]    [2, 2]
15    115871977    [5, 2600154773]    [2, 2]
16    158257177    [5, 2608631813]    [2, 2]
17    160508257    [5, 2609082029]    [2, 2]
18    178914697    [5, 2612763317]    [2, 2]
19    181822417    [5, 2613344861]    [2, 2]
20    221928577    [5, 2621366093]    [2, 2]
21    253322017    [5, 2627644781]    [2, 2]
22    277260217    [5, 2632432421]    [2, 2]
23    351241657    [5, 2647228709]    [2, 2]
24    372231457    [5, 2651426669]    [2, 2]
25    472842097    [5, 2671548797]    [2, 2]
26    695089057    [5, 2715998189]    [2, 2]
27    1054201057    [5, 2787820589]    [2, 2]
28    1409712577    [5, 2858922893]    [2, 2]
29    1735155097    [5, 2924011397]    [2, 2]
30    1778222257    [5, 2932624829]    [2, 2]
31    1808907217    [5, 2938761821]    [2, 2]
32    6981065    [5, 4296363509]    [2, 2]
33    9088865    [5, 4296785069]    [2, 2]
34    11819465    [5, 4297331189]    [2, 2]
35    12600065    [5, 4297487309]    [2, 2]
36    14742065    [5, 4297915709]    [2, 2]
37    19167785    [5, 4298800853]    [2, 2]
38    43797185    [5, 4303726733]    [2, 2]
39    88342865    [5, 4312635869]    [2, 2]
40    122965505    [5, 4319560397]    [2, 2]
41    166208705    [5, 4328209037]    [2, 2]
42    182754305    [5, 4331518157]    [2, 2]
43    310788305    [5, 4357124957]    [2, 2]
44    332404865    [5, 4361448269]    [2, 2]
45    421895105    [5, 4379346317]    [2, 2]
46    484869905    [5, 4391941277]    [2, 2]
47    616460705    [5, 4418259437]    [2, 2]
48    675265985    [5, 4430020493]    [2, 2]
49    1059106265    [5, 4506788549]    [2, 2]
50    1069629185    [5, 4508893133]    [2, 2]
51    1324183265    [5, 4559803949]    [2, 2]
52    1568523905    [5, 4608672077]    [2, 2]
53    1623025985    [5, 4619572493]    [2, 2]
54    1654018865    [5, 4625771069]    [2, 2]
55    2420113985    [5, 4778990093]    [2, 2]
56    222529    [5, 5154005261]    [2, 2]
57    551209    [5, 5154070997]    [2, 2]
58    618529    [5, 5154084461]    [2, 2]
59    4013569    [5, 5154763469]    [2, 2]
60    4060129    [5, 5154772781]    [2, 2]
61    17227489    [5, 5157406253]    [2, 2]
62    249516769    [5, 5203864109]    [2, 2]
63    632803729    [5, 5280521501]    [2, 2]
64    981959809    [5, 5350352717]    [2, 2]
65    1099284289    [5, 5373817613]    [2, 2]
66    1624015489    [5, 5478763853]    [2, 2]
67    1627800529    [5, 5479520861]    [2, 2]
